WAST,BP,DP,Dta,Dts,Dtx,EV,EV10,QFE,QFF,QNH,RF,RF10,RH,S,SR,Ss,Sx,T,Wd,Ws
1/1/2022 18:00,1006.4,14.7,233,40,220,27.94,0.12,1006.5,1010,1010.1,0,0,57.54,2.3,4.4,0.8,5.3,23.53,206,2.78
1/1/2022 18:10,1006.4,15.1,235,38,274,28.04,0.1,1006.5,1010,1010.1,0,0,59.95,2.1,4.4,0.7,5.6,23.35,217,2.22
1/1/2022 18:20,1006.5,14.8,238,42,287,28.14,0.1,1006.6,1010.1,1010.2,0,0,60.65,2.1,4.3,0.6,4.1,22.75,242,1.89
1/1/2022 18:30,1006.6,14.4,229,41,161,28.24,0.1,1006.7,1010.2,1010.3,0,0,59.29,2.1,4.4,0.7,3.9,22.76,212,2.22
1/1/2022 18:40,1006.7,14.8,223,36,171,28.35,0.11,1006.8,1010.3,1010.4,0,0,60.24,2.2,4.3,0.3,4.2,22.9,216,1.78
1/1/2022 18:50,1006.8,14.7,227,40,196,28.44,0.09,1006.9,1010.4,1010.5,0,0,61.77,1.9,4.4,0.8,3.8,22.41,202,2.22
1/1/2022 19:00,1006.8,14.6,227,31,334,28.52,0.08,1006.9,1010.4,1010.5,0,0,62.94,1.8,4.4,0.6,2.8,21.99,249,2.22
1/1/2022 19:10,1006.8,14.7,223,32,189,28.61,0.09,1006.9,1010.4,1010.5,0,0,64.44,2,4.4,0.7,3.9,21.72,204,2
1/1/2022 19:20,1006.9,14.4,218,33,188,28.7,0.09,1007,1010.5,1010.6,0,0,64.92,2.2,4.4,0.4,4,21.25,211,1.78
1/1/2022 19:30,1006.9,14.8,223,29,177,28.77,0.07,1007,1010.5,1010.6,0,0,66.2,1.4,4.6,0.6,4.2,21.33,218,1
1/1/2022 19:40,1007,14.8,220,26,210,28.83,0.06,1007.1,1010.6,1010.7,0,0,67.3,1.3,4.4,0.7,2.7,21.1,203,1
1/1/2022 19:50,1007.1,14.9,225,24,235,28.89,0.06,1007.2,1010.7,1010.8,0,0,68.34,1.3,4.6,0.6,3,20.94,233,3
1/1/2022 20:00,1007.2,15.1,221,23,137,28.94,0.05,1007.3,1010.8,1010.9,0,0,68.98,1.2,4.6,0.4,2.6,21,201,1.11
1/1/2022 20:10,1007.2,15.2,218,24,194,29,0.06,1007.3,1010.8,1010.9,0,0,69.92,1.6,4.4,0.4,3.6,20.9,185,2
1/1/2022 20:20,1007.3,15.1,216,21,206,29.05,0.05,1007.4,1010.9,1011,0,0,70.48,1.4,4.7,0.7,3,20.67,202,1.89
1/1/2022 20:30,1007.3,15.2,218,19,205,29.1,0.05,1007.4,1010.9,1011,0,0,70.6,1.2,4.7,0.4,3,20.71,215,1
1/1/2022 20:40,1007.5,14.8,221,21,206,29.15,0.05,1007.6,1011.1,1011.2,0,0,70.32,1.1,4.9,0,2.6,20.37,211,1.11
1/1/2022 20:50,1007.5,14.7,219,22,220,29.2,0.05,1007.6,1011.1,1011.2,0,0,70.48,1,4.7,0.3,1.8,20.21,187,1.22
1/1/2022 21:00,1007.6,14.8,218,25,201,29.25,0.05,1007.7,1011.2,1011.3,0,0,70.81,1,4.9,0.3,2.3,20.29,211,1.55
1/1/2022 21:10,1007.6,14.5,216,16,192,29.29,0.04,1007.7,1011.2,1011.3,0,0,70.42,0.9,4.7,0.3,1.8,20.01,195,1.55
1/1/2022 21:20,1007.7,14.2,207,13,192,29.33,0.04,1007.8,1011.3,1011.4,0,0,70.31,0.9,4.7,0,1.7,19.79,228,1.11
1/1/2022 21:30,1007.7,14.4,203,10,185,29.37,0.04,1007.8,1011.3,1011.4,0,0,70.87,0.9,4.7,0.3,2.1,19.83,200,1.11
1/1/2022 21:40,1007.6,14.1,202,13,216,29.42,0.05,1007.7,1011.2,1011.3,0,0,71.1,1.2,4.9,0,1.9,19.52,206,1
1/1/2022 21:50,1007.6,14.2,200,12,200,29.47,0.05,1007.7,1011.2,1011.3,0,0,70.93,1.1,4.9,0.4,2,19.66,198,1.44
1/1/2022 22:00,1007.6,13.8,193,11,180,29.51,0.04,1007.7,1011.2,1011.3,0,0,70.77,1,4.9,0,1.9,19.27,191,1
1/1/2022 22:10,1007.7,13.7,195,12,204,29.56,0.05,1007.8,1011.3,1011.4,0,0,70.74,1.1,4.9,0.3,2,19.13,198,1
1/1/2022 22:20,1007.7,13.7,196,10,212,29.6,0.04,1007.8,1011.3,1011.4,0,0,71.01,1,4.9,0.3,2,19.11,184,0.78
1/1/2022 22:30,1007.6,13.6,200,7,195,29.64,0.04,1007.7,1011.2,1011.3,0,0,71.08,1,4.9,0.3,1.7,18.98,184,1.55
1/1/2022 22:40,1007.7,13.8,196,10,155,29.69,0.05,1007.8,1011.3,1011.4,0,0,71.72,1.2,4.7,0.3,2.3,18.98,205,1.22
1/1/2022 22:50,1007.7,13.5,201,13,186,29.74,0.05,1007.8,1011.3,1011.4,0,0,71.19,1.3,4.9,0.3,2.3,18.84,204,0.89
1/1/2022 23:00,1007.6,13.7,198,13,209,29.79,0.05,1007.7,1011.2,1011.3,0,0,71.33,1.4,4.7,0.4,2.2,18.97,168,2.11
1/1/2022 23:10,1007.6,13.6,188,14,206,29.85,0.06,1007.7,1011.2,1011.3,0,0,70.94,1.6,4.7,0.3,2.8,18.98,188,1.55
1/1/2022 23:20,1007.5,13.4,189,14,186,29.9,0.05,1007.6,1011.1,1011.2,0,0,70.05,1.2,4.7,0.3,2.1,18.94,210,1.44
1/1/2022 23:30,1007.4,13.2,178,12,172,29.95,0.05,1007.5,1011,1011.1,0,0,69.71,1.2,4.7,0.3,2,18.88,145,1.67
1/1/2022 23:40,1007.4,13.3,174,16,178,30,0.05,1007.5,1011,1011.1,0,0,69.79,1.2,4.7,0.4,2.7,18.93,154,2.44
1/1/2022 23:50,1007.4,12.5,178,14,177,30.07,0.07,1007.5,1011,1011.1,0,0,67.43,1.7,4.7,0.4,2.8,18.68,196,1.78
1/2/2022 0:00,1007.5,12.3,187,14,198,30.14,0.07,1007.6,1011.1,1011.2,0,0,65.88,1.7,4.7,0.3,2.8,18.86,205,2.33
1/2/2022 0:10,1007.5,11.8,188,18,212,30.22,0.08,1007.6,1011.1,1011.2,0,0,63.69,1.8,4.7,0.4,2.8,18.79,198,2.44
1/2/2022 0:20,1007.4,10.8,178,20,180,30.31,0.09,1007.5,1011,1011.1,0,0,60.09,1.8,4.7,0.3,3.2,18.68,166,1.55
1/2/2022 0:30,1007.4,10.3,171,17,148,30.42,0.11,1007.5,1011,1011.1,0,0,54.85,2.1,4.7,0.4,4.7,19.65,183,2.11
1/2/2022 0:40,1007.3,9.4,170,17,130,30.54,0.12,1007.4,1010.9,1011,0,0,51.86,2.2,4.7,0.4,3.3,19.56,132,3.11
1/2/2022 0:50,1007.3,9.2,168,16,142,30.66,0.12,1007.4,1010.9,1011,0,0,50.39,1.9,4.7,0.4,2.9,19.86,166,1.67
1/2/2022 1:00,1007.2,8.7,163,20,129,30.77,0.11,1007.3,1010.8,1010.9,0,0,49.91,1.6,4.7,0.3,2.7,19.43,127,2.66
1/2/2022 1:10,1007.1,8.7,134,21,133,30.94,0.17,1007.2,1010.7,1010.8,0,0,46.3,2.9,4.7,1,6.8,20.6,95,2.89
1/2/2022 1:20,1007.1,8.5,134,24,162,31.12,0.18,1007.2,1010.7,1010.8,0,0,45.9,3.2,4.7,1.4,7.4,20.57,130,4.44
1/2/2022 1:30,1007.1,9,123,24,141,31.28,0.16,1007.2,1010.7,1010.8,0,0,46.98,2.9,4.7,1.2,6.9,20.68,88,5.22
1/2/2022 1:40,1007.1,9.1,113,25,144,31.49,0.21,1007.2,1010.7,1010.8,0,0,47.4,4.1,4.7,1.2,7.3,20.68,73,4.33
1/2/2022 1:50,1007.2,9.3,124,23,128,31.7,0.21,1007.3,1010.8,1010.9,0,0,48.64,4.4,4.7,1.7,8.2,20.53,79,3.11
1/2/2022 2:00,1007.1,9.2,123,21,117,31.91,0.21,1007.2,1010.7,1010.8,0,0,49.38,4.6,4.6,1.4,9.1,20.11,122,5.55
1/2/2022 2:10,1007.1,9.5,112,24,137,32.12,0.21,1007.2,1010.7,1010.8,0,0,50.49,4.6,4.7,1.3,7.9,20.05,92,4.88
1/2/2022 2:20,1007.2,9.5,118,26,133,32.3,0.18,1007.3,1010.8,1010.9,0,0,51.19,3.9,4.7,1.1,7.2,19.83,160,3.66
1/2/2022 2:30,1007.2,9.4,121,23,119,32.45,0.15,1007.3,1010.8,1010.9,0,0,51.88,3.1,4.7,1.1,6.4,19.52,102,4
1/2/2022 2:40,1007.2,9.2,115,25,116,32.61,0.16,1007.3,1010.8,1010.9,0,0,52.28,3.6,4.7,1.2,6.3,19.17,115,3
1/2/2022 2:50,1007.2,9.1,115,25,92,32.78,0.17,1007.3,1010.8,1010.9,0,0,52.61,3.9,4.7,1.1,7.1,19.04,176,2.89
1/2/2022 3:00,1007.2,9,112,26,106,32.95,0.17,1007.3,1010.8,1010.9,0,0,52.87,4,4.7,1.3,6.8,18.81,121,3.77
1/2/2022 3:10,1007.3,8.9,110,26,137,33.11,0.16,1007.4,1010.9,1011,0,0,53.25,3.6,4.6,1.3,7,18.65,101,1.22
1/2/2022 3:20,1007.3,9.1,112,19,91,33.27,0.16,1007.4,1010.9,1011,0,0,53.78,3.7,4.6,1,6.3,18.67,91,2.22
1/2/2022 3:30,1007.3,8.9,109,22,94,33.41,0.14,1007.4,1010.9,1011,0,0,54.43,3.3,4.7,0.9,7.2,18.22,119,3.11
1/2/2022 3:40,1007.3,8.9,102,22,119,33.58,0.17,1007.4,1010.9,1011,0,0,54.57,4.2,4.7,0.8,6.1,18.23,80,4.88
1/2/2022 3:50,1007.3,8.8,104,23,98,33.73,0.15,1007.4,1010.9,1011,0,0,55.08,3.6,4.7,1.1,6.4,17.96,110,2.89
1/2/2022 4:00,1007.3,8.8,108,24,88,33.87,0.14,1007.4,1010.9,1011,0,0,55.35,3.2,4.7,0.9,5.4,17.86,165,3
1/2/2022 4:10,1007.5,8.7,106,21,109,34.01,0.14,1007.6,1011.1,1011.2,0,0,55.37,3.3,4.7,1.2,5.6,17.76,112,2.78
1/2/2022 4:20,1007.6,8.6,110,20,73,34.13,0.12,1007.7,1011.2,1011.3,0,0,55.92,2.7,4.7,1,5.7,17.53,149,3.22
1/2/2022 4:30,1007.8,8.8,114,24,109,34.26,0.13,1007.9,1011.4,1011.5,0,0,56.31,3,4.7,1.1,5.6,17.64,103,3.55
1/2/2022 4:40,1007.9,8.6,107,26,92,34.39,0.13,1008,1011.5,1011.6,0,0,56.02,3.2,4.7,1.1,6.7,17.43,88,1.33
1/2/2022 4:50,1008.1,8.5,115,29,154,34.5,0.11,1008.2,1011.7,1011.8,0,0,56.64,2.6,4.7,0.9,5,17.21,117,4.55
1/2/2022 5:00,1008.2,8.6,116,25,104,34.63,0.13,1008.3,1011.8,1011.9,0,0,56.3,3.3,4.7,1.1,5.8,17.41,139,2.33
1/2/2022 5:10,1008.4,8.3,107,22,91,34.75,0.12,1008.5,1012.1,1012.1,0,0,56.44,2.7,4.7,1,4.6,17.08,112,2
1/2/2022 5:20,1008.5,8.5,119,26,137,34.87,0.12,1008.6,1012.1,1012.2,0,0,56.59,2.8,4.7,1.2,5.9,17.25,107,2.78
1/2/2022 5:30,1008.6,8.3,113,25,125,35,0.13,1008.7,1012.3,1012.3,0,0,56.31,3.2,4.7,1,5.3,17.05,110,2.44
1/2/2022 5:40,1008.6,8.3,108,20,103,35.11,0.11,1008.7,1012.3,1012.3,0,0,56.18,2.6,4.7,1.1,5.3,17.14,77,4
1/2/2022 5:50,1008.9,8.8,113,27,127,35.23,0.12,1009,1012.5,1012.6,0,0,56.1,2.9,4.7,0.8,5.1,17.7,132,3.44
1/2/2022 6:00,1009,8.6,109,26,87,35.35,0.12,1009.1,1012.7,1012.7,0,0,56.54,2.8,4.9,0.8,4.7,17.31,89,2.66
1/2/2022 6:10,1009,8.7,109,24,101,35.48,0.13,1009.1,1012.6,1012.7,0,0,55.56,3,4.7,1.2,5.6,17.67,108,2.78
1/2/2022 6:20,1009,8.8,107,23,83,35.63,0.15,1009.1,1012.6,1012.7,0,0,54.62,3.6,4.7,1.3,6.4,18.06,99,2.22
1/2/2022 6:30,1009,9,107,26,89,35.77,0.14,1009.1,1012.6,1012.7,0,0,53.18,3,4.7,1.2,6,18.69,104,2.44
1/2/2022 6:40,1009.1,8.9,111,22,98,35.92,0.15,1009.2,1012.7,1012.8,0,0,52.1,3.1,4.7,0.8,5,18.94,116,3.66
1/2/2022 6:50,1009.3,9,106,25,75,36.06,0.14,1009.4,1012.9,1013,0,0,51.14,2.6,4.6,1,5,19.37,103,2.78
1/2/2022 7:00,1009.4,9.2,106,24,97,36.22,0.16,1009.5,1013,1013.1,0,0,50.51,3.3,4.4,1.2,7.4,19.82,83,5.33
1/2/2022 7:10,1009.3,9.5,108,22,86,36.37,0.15,1009.4,1012.9,1013,0,0,50.51,2.8,4.4,0.7,4.8,20.05,138,2.66
1/2/2022 7:20,1009.4,9.6,116,26,88,36.51,0.14,1009.5,1013,1013.1,0,0,49.19,2.3,4.4,0.8,4.2,20.61,146,3.11
1/2/2022 7:30,1009.4,9.5,102,26,92,36.69,0.18,1009.5,1013,1013.1,0,0,48.29,3.4,4.4,1.1,5.4,20.86,76,3.11
1/2/2022 7:40,1009.4,10,105,24,89,36.86,0.17,1009.5,1013,1013.1,0,0,47.96,3.2,4.4,0.8,5.4,21.48,98,2.78
1/2/2022 7:50,1009.4,9.6,101,23,83,37.05,0.19,1009.5,1013,1013.1,0,0,46.22,3.4,4.4,1.1,5.7,21.62,99,4.44
1/2/2022 8:00,1009.6,9.4,118,25,133,37.24,0.19,1009.7,1013.2,1013.3,0,0,45.25,3.3,4.1,1.1,6.7,21.74,147,1.67
1/2/2022 8:10,1009.5,9.7,98,21,93,37.41,0.17,1009.6,1013.1,1013.2,0,0,43.84,2.6,4.3,0.9,4.8,22.67,98,3
1/2/2022 8:20,1009.4,9.9,102,27,95,37.6,0.19,1009.5,1013,1013.1,0,0,43.35,2.9,4.6,1.1,4.9,23.08,98,3.11
1/2/2022 8:30,1009.4,9.9,90,23,89,37.82,0.22,1009.5,1013,1013.1,0,0,43.66,3.8,4.3,1.1,5.8,22.92,75,2
1/2/2022 8:40,1009.3,9.9,97,25,99,38.03,0.21,1009.4,1012.9,1013,0,0,41.54,3.2,4.3,0.8,4.9,23.75,118,2.89
1/2/2022 8:50,1009.3,10.3,89,21,104,38.23,0.2,1009.4,1012.9,1013,0,0,41.34,3,4.3,0.8,4.7,24.26,98,2.78
1/2/2022 9:00,1009.2,10.5,81,19,46,38.43,0.2,1009.3,1012.8,1012.9,0,0,41.17,2.9,4.4,0.8,4.1,24.52,62,2.78
1/2/2022 9:10,1009.1,10.2,91,19,93,38.65,0.22,1009.2,1012.7,1012.8,0,0,40.23,3.3,4.7,1.1,6.7,24.65,69,3.66
1/2/2022 9:20,1009.1,10.2,80,23,77,38.86,0.21,1009.2,1012.7,1012.8,0,0,40.5,3.2,4.3,0.7,5.7,24.53,42,2.78
1/2/2022 9:30,1009,10.4,77,29,71,39.04,0.18,1009.1,1012.5,1012.7,0,0,38.78,2.2,4.7,0.8,3.7,25.44,82,1.11
1/2/2022 9:40,1008.9,10.2,89,28,66,39.24,0.2,1009,1012.4,1012.6,0,0,37.7,2.6,4.6,0.9,4.1,25.75,69,1.44
1/2/2022 9:50,1008.9,10.1,84,30,111,39.45,0.21,1009,1012.4,1012.6,0,0,37.28,2.7,4.7,0.9,5,25.72,54,2.22
1/2/2022 10:00,1008.8,10.8,83,32,58,39.63,0.18,1008.9,1012.3,1012.5,0,0,37.05,2.1,4.6,0.8,3.9,26.62,1,0.78
1/2/2022 10:10,1008.8,10.7,89,26,101,39.82,0.19,1008.9,1012.3,1012.5,0,0,35.79,2.1,4.4,0.8,4.1,27.18,92,3.22
1/2/2022 10:20,1008.7,11,92,30,105,40,0.18,1008.8,1012.2,1012.4,0,0,36.37,1.9,4.7,1,4.7,27.17,134,1.78
1/2/2022 10:30,1008.6,10.7,99,34,92,40.19,0.19,1008.7,1012.1,1012.3,0,0,34.84,2,4.4,0.8,4.2,27.66,85,1.55
1/2/2022 10:40,1008.6,10.8,88,31,55,40.37,0.18,1008.7,1012.1,1012.3,0,0,34.62,1.9,4.6,0.8,3.6,27.81,128,1.78
1/2/2022 10:50,1008.4,11,108,36,98,40.56,0.19,1008.5,1011.9,1012.1,0,0,34.09,2,4.6,0.9,4.2,28.28,117,3
1/2/2022 11:00,1008.3,11.1,121,66,138,40.73,0.17,1008.4,1011.8,1012,0,0,34.54,1.6,4.3,0.8,3.6,28.25,54,1.22
1/2/2022 11:10,1008.2,11.1,91,35,92,40.93,0.2,1008.3,1011.7,1011.9,0,0,33.33,2,4.6,1.1,4.4,28.83,125,2.55
1/2/2022 11:20,1008.1,11.1,119,42,183,41.14,0.21,1008.2,1011.6,1011.8,0,0,32.85,2.3,4.4,0.8,4.2,29.1,152,1.55
1/2/2022 11:30,1008,11.3,109,51,65,41.32,0.18,1008.1,1011.5,1011.7,0,0,32.66,1.7,4.4,0.4,2.8,29.43,49,1.67
1/2/2022 11:40,1007.9,11.1,122,52,63,41.51,0.19,1008,1011.4,1011.6,0,0,30.08,1.6,4.4,0.8,4,30.57,101,0.56
1/2/2022 11:50,1007.8,10.7,156,50,81,41.68,0.17,1007.9,1011.3,1011.5,0,0,30.67,1.4,4.4,0.9,4,29.85,185,0.78
1/2/2022 12:00,1007.7,10.5,46,64,109,41.85,0.17,1007.8,1011.2,1011.4,0,0,31.04,1.4,4.4,0.9,3.3,29.31,352,1.55
1/2/2022 12:10,1007.5,10.9,156,58,146,42.03,0.18,1007.6,1011,1011.2,0,0,29.84,1.4,4,0.9,3.3,30.49,203,0.78
1/2/2022 12:20,1007.4,11,60,91,312,42.19,0.16,1007.5,1010.9,1011.1,0,0,29.09,1,4.3,0,1.8,31.04,308,1.67
1/2/2022 12:30,1007.3,11,192,85,133,42.4,0.21,1007.4,1010.8,1011,0,0,27.56,1.7,4,0.9,4.2,31.98,146,2.33
1/2/2022 12:40,1007.2,13.5,172,51,162,42.59,0.19,1007.3,1010.7,1010.9,0,0,32.13,1.6,4,0.6,2.7,32.16,216,2.22
1/2/2022 12:50,1007.1,13.3,236,35,299,42.78,0.19,1007.2,1010.6,1010.8,0,0,31.97,1.6,4,0.7,2.9,32.13,210,1.78
1/2/2022 13:00,1007.2,14.6,233,35,282,42.96,0.18,1007.3,1010.7,1010.9,0,0,34.92,1.7,4.3,0.9,4.2,32.01,248,2.44
1/2/2022 13:10,1007.3,14.5,244,39,264,43.17,0.21,1007.4,1010.8,1011,0,0,36.94,2.3,3.8,1,4.8,30.94,263,4.11
1/2/2022 13:20,1007.2,14.6,240,36,295,43.37,0.2,1007.3,1010.7,1010.9,0,0,35.55,2.1,3.7,1.2,5.8,31.74,295,2.22
